"from","to","country","new","entire"
2020-01-22,2020-01-29,"China",5539,6087
2020-01-22,2020-01-29,"France",5,5
2020-01-22,2020-01-29,"Germany",4,4
2020-01-22,2020-01-29,"Iran",0,0
2020-01-22,2020-01-29,"Italy",0,0
2020-01-22,2020-01-29,"Spain",0,0
2020-01-22,2020-01-29,"US",4,5
2020-01-22,2020-01-29,"United Kingdom",0,0
2020-01-23,2020-01-30,"China",7498,8141
2020-01-23,2020-01-30,"France",5,5
2020-01-23,2020-01-30,"Germany",4,4
2020-01-23,2020-01-30,"Iran",0,0
2020-01-23,2020-01-30,"Italy",0,0
2020-01-23,2020-01-30,"Spain",0,0
2020-01-23,2020-01-30,"US",4,5
2020-01-23,2020-01-30,"United Kingdom",0,0
2020-01-24,2020-01-31,"China",8882,9802
2020-01-24,2020-01-31,"France",3,5
2020-01-24,2020-01-31,"Germany",5,5
2020-01-24,2020-01-31,"Iran",0,0
2020-01-24,2020-01-31,"Italy",2,2
2020-01-24,2020-01-31,"Spain",0,0
2020-01-24,2020-01-31,"US",5,7
2020-01-24,2020-01-31,"United Kingdom",2,2
2020-01-25,2020-02-01,"China",10485,11891
2020-01-25,2020-02-01,"France",3,6
2020-01-25,2020-02-01,"Germany",8,8
2020-01-25,2020-02-01,"Iran",0,0
2020-01-25,2020-02-01,"Italy",2,2
2020-01-25,2020-02-01,"Spain",1,1
2020-01-25,2020-02-01,"US",6,8
2020-01-25,2020-02-01,"United Kingdom",2,2
2020-01-26,2020-02-02,"China",14555,16630
2020-01-26,2020-02-02,"France",3,6
2020-01-26,2020-02-02,"Germany",10,10
2020-01-26,2020-02-02,"Iran",0,0
2020-01-26,2020-02-02,"Italy",2,2
2020-01-26,2020-02-02,"Spain",1,1
2020-01-26,2020-02-02,"US",3,8
2020-01-26,2020-02-02,"United Kingdom",2,2
2020-01-27,2020-02-03,"China",16839,19716
2020-01-27,2020-02-03,"France",3,6
2020-01-27,2020-02-03,"Germany",11,12
2020-01-27,2020-02-03,"Iran",0,0
2020-01-27,2020-02-03,"Italy",2,2
2020-01-27,2020-02-03,"Spain",1,1
2020-01-27,2020-02-03,"US",6,11
2020-01-27,2020-02-03,"United Kingdom",8,8
2020-01-28,2020-02-04,"China",18198,23707
2020-01-28,2020-02-04,"France",2,6
2020-01-28,2020-02-04,"Germany",8,12
2020-01-28,2020-02-04,"Iran",0,0
2020-01-28,2020-02-04,"Italy",2,2
2020-01-28,2020-02-04,"Spain",1,1
2020-01-28,2020-02-04,"US",6,11
2020-01-28,2020-02-04,"United Kingdom",8,8
2020-01-29,2020-02-05,"China",21353,27440
2020-01-29,2020-02-05,"France",1,6
2020-01-29,2020-02-05,"Germany",8,12
2020-01-29,2020-02-05,"Iran",0,0
2020-01-29,2020-02-05,"Italy",2,2
2020-01-29,2020-02-05,"Spain",1,1
2020-01-29,2020-02-05,"US",6,11
2020-01-29,2020-02-05,"United Kingdom",9,9
2020-01-30,2020-02-06,"China",22446,30587
2020-01-30,2020-02-06,"France",1,6
2020-01-30,2020-02-06,"Germany",8,12
2020-01-30,2020-02-06,"Iran",0,0
2020-01-30,2020-02-06,"Italy",2,2
2020-01-30,2020-02-06,"Spain",1,1
2020-01-30,2020-02-06,"US",6,11
2020-01-30,2020-02-06,"United Kingdom",9,9
2020-01-31,2020-02-07,"China",24308,34110
2020-01-31,2020-02-07,"France",1,6
2020-01-31,2020-02-07,"Germany",8,13
2020-01-31,2020-02-07,"Iran",0,0
2020-01-31,2020-02-07,"Italy",1,3
2020-01-31,2020-02-07,"Spain",1,1
2020-01-31,2020-02-07,"US",4,11
2020-01-31,2020-02-07,"United Kingdom",7,9
